Parameters for Naive Bayes
(Word Counts)
Last Modified: 01-04-2021 18:43:53
#
! 4 4 0
$0.50. 1 0 1
$100 1 0 1
$12 1 0 1
$135+per 1 0 1
$18 1 0 1
$20 1 0 1
$20.00 1 0 1
$300+, 1 0 1
$42 1 0 1
$461. 1 0 1
$50 1 0 1
$500 1 0 1
$59 1 0 1
$6 1 1 0
$69/ 1 0 1
$700 1 0 1
$86 1 0 1
$89 1 0 1
$9.06 1 0 1
& 6 4 2
'Two 1 0 1
( 1 0 1
($125). 1 0 1
($500+) 1 1 0
(Carlos 1 1 0
(I 1 1 0
(Incidentally, 1 0 1
(Jamie) 1 1 0
(a 4 1 3
(almost 1 0 1
(although 1 0 1
(and 2 1 1
(as 2 2 0
(asked 1 0 1
(big 2 2 0
(but 2 1 1
(cavatelli) 1 0 1
(chipotle 1 0 1
(considering 1 0 1
(cookie 1 0 1
(devoid 1 0 1
(entree) 1 0 1
(even 2 2 0
(excellently 1 1 0
(fried 1 0 1
(hopefully 1 1 0
(i.e. 1 0 1
(if 1 1 0
(in 2 1 1
(it 1 1 0
(like 1 0 1
(literally 1 1 0
(main 1 0 1
(meat, 1 0 1
(more 1 0 1
(nice 1 1 0
(no 1 1 0
(not 3 2 1
(note: 1 1 0
(pork 1 1 0
(pun 1 1 0
(random 1 1 0
(really 1 0 1
(salad) 1 0 1
(shellfish 1 0 1
(simple 1 0 1
(spelling??), 1 0 1
(sweet 1 1 0
(tell 1 0 1
(that 1 1 0
(that's 1 0 1
(the 3 2 1
(this 1 1 0
(too 1 0 1
(vs 1 1 0
(whatever 1 0 1
(which 2 0 2
) 2 0 2
, 4 3 1
- 50 14 36
-- 7 4 3
. 4 1 3
... 2 0 2
/// 133 80 53
08540! 1 1 0
1 2 0 2
1* 1 0 1
1. 1 1 0
1/2 1 0 1
10 1 1 0
10. 2 1 1
11 1 0 1
11:30, 1 1 0
12, 1 0 1
12:10. 1 1 0
15 1 0 1
2 6 1 5
2-3 1 0 1
2. 2 1 1
20 1 0 1
20%, 1 0 1
2000 1 0 1
2016. 1 1 0
2020, 1 1 0
21st 1 1 0
24 2 0 2
24th 1 1 0
26 1 0 1
2x, 1 0 1
3 5 0 5
3-4 1 0 1
3. 1 1 0
300 3 0 3
350 1 0 1
3pm 1 0 1
3rd 2 1 1
4 6 2 4
400$ 1 0 1
45 1 0 1
45th 1 0 1
4:15 1 1 0
5 3 1 2
50% 1 0 1
5p!). 1 1 0
5pm 1 1 0
6 1 0 1
69 1 0 1
7 1 1 0
7pm. 1 1 0
8 1 1 0
8/20: 1 0 1
80th 1 1 0
9 1 0 1
9-course 1 0 1
:) 3 3 0
;) 1 1 0
= 1 0 1
A 16 9 7
A-mazing! 1 1 0
AC! 1 1 0
AMAZING! 1 1 0
AMAZING. 1 1 0
AWAY 1 0 1
Absolute 1 1 0
Absolutely 1 1 0
After 4 2 2
Again 1 0 1
Again, 1 0 1
Agricola 13 13 0
Agricola! 1 1 0
Agricola, 1 1 0
Agricola--a 1 1 0
Agricola. 1 1 0
Ahi 2 2 0
Al 1 0 1
Alas. 1 0 1
All 10 9 1
Alliana 1 0 1
Almost 1 0 1
Alright, 1 1 0
Also, 1 0 1
Although 1 1 0
Always 5 5 0
Amazing 2 2 0
Amazing! 2 2 0
Ambiance 1 1 0
Amy, 1 0 1
An 3 1 2
Ana 1 1 0
Ananas 2 2 0
And 10 2 8
Anderson 3 0 3
Anderson, 1 0 1
Another 2 0 2
Anyone 1 0 1
Apparently 1 0 1
Artisan 2 2 0
As 5 2 3
Asado 1 0 1
Asked 1 0 1
At 2 0 2
Ate 1 0 1
Atelier 1 0 1
Atlantic 1 1 0
Atmosphere 1 0 1
Atmosphere: 1 0 1
August 1 1 0
Australian 1 0 1
Awesome 3 3 0
BEAUTIFUL! 1 1 0
BLT, 1 1 0
BOY 1 0 1
BPG 1 1 0
BYO 1 1 0
BYOB 6 6 0
BYOB, 1 1 0
BYOB. 2 2 0
Bad 1 0 1
Bar. 1 0 1
Barns). 1 0 1
Based 1 1 0
Basically 1 0 1
Beautifully 1 1 0
Because 1 0 1
Been 1 1 0
Beet 1 0 1
Before 2 0 2
Being 2 2 0
Bell 1 0 1
Bellini 2 2 0
Benedict 2 1 1
Best 4 4 0
Beth 1 0 1
Better 2 1 1
Big 1 0 1
Blue 8 7 1
Bluepoint 1 1 0
Both 1 1 0
Boy 1 0 1
Boyfriend 1 1 0
Brunch 1 0 1
Brunch. 1 0 1
Brussels 2 1 1
Burrito 1 0 1
But 6 2 4
But, 1 0 1
Butternut 1 1 0
CC 1 0 1
CHANGED. 1 0 1
COVID 1 1 0
California. 1 0 1
Came 1 1 0
Can't 1 1 0
Car 1 1 0
Carbo 1 0 1
Ceasar 1 1 0
Chanterelles. 1 0 1
Cheeseboard 1 1 0
Cheeseboard, 1 1 0
Cheeseboard. 1 1 0
Chef 1 0 1
Chicken 1 1 0
Chilean 3 3 0
Chipotle 2 0 2
Chipotle. 1 0 1
Chocolate 1 0 1
Chowder 1 1 0
Cindy 1 1 0
City 1 0 1
Cod 1 1 0
Cody 1 0 1
Comfortable 1 1 0
Congrats 1 0 1
Cons 1 0 1
Cons: 1 0 1
Consider 1 0 1
Considering 1 0 1
Cost 1 1 0
Couldn't 1 1 0
Covid 3 3 0
Crab 1 1 0
Cranky 1 1 0
Creative. 1 0 1
Crenn. 1 0 1
Crepes. 1 1 0
Cute 1 1 0
Czech 1 0 1
Daniel 1 0 1
Danielle 1 1 0
Danielle!! 1 1 0
Dayboat 1 1 0
Def 1 0 1
Definitely 2 2 0
Delectable. 1 1 0
Delicious 3 2 1
Delish 1 1 0
Denmark, 1 0 1
Despite 1 0 1
Dessert 3 2 1
Desserts 1 1 0
Did 1 0 1
Didn't 1 0 1
Diegan, 1 0 1
Dinner 1 1 0
Dinner. 1 0 1
Do 2 0 2
Does 1 0 1
Don't 3 1 2
Dont 1 0 1
Doubtful. 1 0 1
Drenched 1 0 1
Drink 1 0 1
Drinks 2 1 1
Dry 1 1 0
During 1 1 0
Eatery 1 1 0
Edit 1 0 1
Eggs 2 1 1
El 1 0 1
Elements 11 0 11
Elements. 2 0 2
Emilio, 1 1 0
Ended 1 1 0
Entrees 1 1 0
Especially 2 0 2
Essentially 1 0 1
Even 3 2 1
Every 2 2 0
Everyone 1 1 0
Everything 5 4 1
Excellent 1 1 0
Except 1 0 1
Exceptional 1 1 0
Expectedly, 1 1 0
Expensive. 1 0 1
Exquisite 1 1 0
Extremely 3 1 2
Eye 1 0 1
Fantastic 2 2 0
Favorites 1 1 0
Fe, 1 0 1
Fia 5 0 5
Fia, 1 0 1
Fia. 1 0 1
Fiction, 1 0 1
Fig 1 1 0
Figure 1 0 1
Filet 2 2 0
Finland, 1 0 1
Fire 1 0 1
First 3 3 0
Fish 2 2 0
Flank 1 0 1
Foie 3 0 3
Food 10 5 5
Food, 1 1 0
Food: 1 0 1
For 10 7 3
Fresh 1 1 0
Freshest 1 1 0
Freshly 1 1 0
Friday 1 0 1
Fried 1 1 0
Friendly 1 1 0
Friends 1 1 0
From 3 2 1
Full 1 0 1
GREAT 1 1 0
Generally 1 0 1
Germany, 1 0 1
Get 1 0 1
Good 3 1 2
Gras 2 0 2
Great 9 9 0
Green 1 1 0
Grill 4 4 0
Grill, 1 1 0
Grill. 1 1 0
Group 1 1 0
Grouper 1 1 0
Guess 1 1 0
HAVE 1 0 1
Had 3 2 1
Hands 2 2 0
Harry 1 1 0
Harvest 1 1 0
Hats 1 1 0
Have 1 1 0
He 6 0 6
Hen 1 0 1
Her 1 1 0
Here 1 0 1
Highly 2 2 0
Hill 1 0 1
Hops 1 0 1
Horchata 1 0 1
How 1 0 1
However 2 0 2
However, 4 2 2
I 329 142 187
I'd 5 3 2
I'll 1 0 1
I'm 15 8 7
I've 13 6 7
Icelandic 1 1 0
If 16 6 10
Imagine 1 1 0
In 7 3 4
Inattentive 1 0 1
Incredible 1 1 0
Inn 1 0 1
Inside 1 0 1
Israel, 1 0 1
It 28 13 15
It's 6 4 2
Ive 1 0 1
Ivory 1 1 0
JUST 1 0 1
Jalapeno-Lime 1 1 0
Jameson 3 0 3
Jameson. 1 0 1
Jammin' 1 1 0
Jersey. 2 2 0
Jim 1 0 1
Jim, 1 0 1
Jules 1 0 1
Just 1 0 1
Keep 1 1 0
Kendall 1 0 1
Keylime 1 1 0
Kinda 1 0 1
Kitchen 1 1 0
Last 3 1 2
Later 1 0 1
Law 1 1 0
Let 1 1 0
Life 1 0 1
Lobster 1 1 0
Long 1 0 1
Looking 1 1 0
Looks 1 0 1
Lose 1 0 1
Love 2 2 0
Loved 4 4 0
Lovely 1 1 0
Luckily, 1 0 1
Luxembourg, 1 0 1
ME 1 0 1
Made 2 1 1
Maine 1 1 0
Manager 1 0 1
Manhattan 3 1 2
Many 1 1 0
Margarita 1 1 0
Margharita 1 1 0
Margherita 2 2 0
Mars 1 0 1
Maybe 4 0 4
Me 1 0 1
Medallions 1 1 0
Melt, 1 1 0
Menu 1 1 0
Mexican 4 0 4
Michelin 1 0 1
Michelin-starred 1 0 1
Mignon 2 2 0
Minuscule 1 0 1
Mistral 2 0 2
Mistral, 1 0 1
Mom's 2 2 0
Mon, 1 1 0
Money 1 0 1
Mushroom 2 2 0
Must 1 1 0
My 26 16 10
N 1 0 1
NE 1 1 0
NEVER 1 0 1
NJ 3 2 1
NOT 1 0 1
NYC 2 0 2
NYC) 1 0 1
NYC), 1 0 1
NYC, 2 1 1
NYCs. 1 0 1
Nation 1 1 0
Near 1 0 1
Needless 1 1 0
Never 1 0 1
Nevertheless, 1 0 1
New 3 2 1
Nice 1 0 1
Nicholas. 1 0 1
No 7 0 7
Normally, 1 0 1
Norway, 1 0 1
Norwegian 1 1 0
Not 10 3 7
Nothing 2 1 1
Now 3 1 2
OK 1 0 1
OMG 1 1 0
ON 1 1 0
ONLY 1 0 1
October 1 1 0
October. 1 0 1
Of 2 1 1
