yelpid,ourid
crown-of-india-plainsboro-2,B1
indian-hut-plainsboro-township-2,B2
asian-halal-meat-and-kebab-house-hightstown,B3
the-mint-princeton,B4
kochi-indian-cuisine-hightstown,B5
saravana-bhavan-west-windsor,B6
crown-of-india-cafe-west-windsor-township,B7
cross-culture-princeton,B8
chennai-chimney-princeton-2,B9
palace-of-asia-lawrenceville,B10
dosa-grill-east-windsor,B11
house-of-biryanis-and-kebabs-dayton,B12
anjappar-chettinad-south-indian-cuisine-north-brunswick,B13
palace-of-asia-franklin-township,B14
a2b-indian-veg-restaurant-princeton,B15
vatan-indian-vegetarian-cuisine-and-bakery-east-windsor,B16
jhopri-plainsboro-township,B17
kesars-an-indian-thali-east-windsor,B18
